Sample	Category
DIV_002	Cultivar
DIV007	Cultivar
DIV_012	Cultivar
DIV_030	Cultivar
DIV_033	Cultivar
DIV_034	Cultivar
Div037	Cultivar
DIV_040	Cultivar
DIV_042	Cultivar
DIV_046	Cultivar
DIV_048	Cultivar
DIV_055	Cultivar
DIV058	Cultivar
DIV_059	Cultivar
DIV_063	Cultivar
DIV_066	Cultivar
DIV_074	Cultivar
DIV_079	Cultivar
DIV_096	Cultivar
DIV_106	Cultivar
DIV119	Cultivar
DIV_134	Cultivar
DIV_136	Cultivar
DIV-138	Cultivar
DIV_141	Cultivar
DIV_144	Cultivar
DIV_169	Cultivar
DIV_176	Cultivar
DIV_178	Cultivar
DIV_184	Cultivar
DIV_195	Cultivar
DIV-199	Cultivar
DIV_206	Cultivar
DIV_209	Cultivar
DIV_211	Cultivar
DIV-213	Cultivar
DIV-226	Cultivar
DIV_230	Cultivar
DIV_232	Cultivar
DIV_237	Cultivar
Div243	Cultivar
DIV_245	Cultivar
DIV_246	Cultivar
DIV_249	Cultivar
DIV_255	Cultivar
DIV_256	Cultivar
DIV_260	Cultivar
DIV_263	Cultivar
DIV_264	Cultivar
DIV_269	Cultivar
DIV_272	Cultivar
Div273	Cultivar
DIV_289	Cultivar
DIV_293	Cultivar
DIV_296	Cultivar
DIV_298	Cultivar
Div305	Cultivar
DIV_306	Cultivar
Div-307	Cultivar
DIV_308	Cultivar
DIV-310	Cultivar
DIV_316	Cultivar
DIV_319	Cultivar
DIV_322	Cultivar
DIV_347	Cultivar
DIV_351	Cultivar
DIV_355	Cultivar
DIV_363	Cultivar
DIV-364	Cultivar
DIV_366	Cultivar
DIV_373	Cultivar
DIV_380	Cultivar
Div-382	Cultivar
NC12-769	Cultivar
NC12-770	Cultivar
SA_0002	Cultivar
SA-0033	Cultivar
SA-0053	Cultivar
SA-0084	Cultivar
SA-0159	Cultivar
SA-0165	Cultivar
SA-0186	Cultivar
SA-0238	Cultivar
SA-0298	Cultivar
SA-0300	Cultivar
SA-0311	Cultivar
SA-0333	Cultivar
SA_0369	Cultivar
SA-0582	Cultivar
SA_0668A	Cultivar
SA-0718	Cultivar
SA-0815	Cultivar
SA-0825	Cultivar
SA-0857	Cultivar
SA-0881	Cultivar
SA-0883	Cultivar
SA-0892	Cultivar
SA-0904	Cultivar
SA-0940	Cultivar
SA-0965	Cultivar
SA-0982	Cultivar
SA-1006_Merge	Cultivar
SA-1019_Merge	Cultivar
SA-1044_Merge	Cultivar
SA-1055	Cultivar
SA-1111	Cultivar
SA-1138	Cultivar
SA-1139	Cultivar
SA-1156	Cultivar
SA-1166	Cultivar
SA-1181	Cultivar
SA-1184	Cultivar
SA-1205	Cultivar
SA-1212	Cultivar
SA-1230	Cultivar
SA-1232	Cultivar
SA-1237	Cultivar
SA-1250	Cultivar
SA_1263	Cultivar
SA-1278	Cultivar
SA-1291	Cultivar
SA-1330	Cultivar
SA-1349	Cultivar
SA-1392	Cultivar
SA-1403	Cultivar
SA-1406	Cultivar
SA-1412	Cultivar
SA-1419	Cultivar
SA-1420	Cultivar
SA-1424	Cultivar
SA-1427	Cultivar
SA-1428	Cultivar
SA-1455	Cultivar
SA-1456	Cultivar
SA-1465	Cultivar
SA-1533	Cultivar
SA-1596	Cultivar
SA-1604	Cultivar
SA-1665	Cultivar
SA-1694	Cultivar
SA-1703	Cultivar
SA_1710	Cultivar
SA-1725	Cultivar
SA-1759	Cultivar
SA-1766	Cultivar
SA-1845	Cultivar
SA-1913	Cultivar
SA-2057	Cultivar
SA-2149	Wild
SA_2192	Wild
SA-2260	Cultivar
SA-2269	Cultivar
SA-2330	Cultivar
SA-2356	Cultivar
SA-2374	Cultivar
SA-2375	Cultivar
SA-2401	Cultivar
SA-2558	Cultivar
SA-2580	Cultivar
SA-2589_Merge	Cultivar
SA-2597	Cultivar
SA-2606	Cultivar
SA-2895_Merge	Cultivar
SA-2910	Cultivar
SA_3137	Cultivar
SA-3193	Cultivar
SA-3251	Cultivar
SA-3256	Cultivar
SA_3284	Cultivar
SA-3308	Cultivar
SA-3332	Cultivar
SA-3335	Cultivar
SA-3338	Cultivar
SA-3340	Cultivar
SA-3348	Cultivar
SA_3360	Cultivar
SA-3390	Cultivar
SA-3403	Cultivar
SA-3413	Cultivar
SA-3444	Cultivar
SA-3452	Cultivar
SA-3477	Cultivar
SA-3489	Cultivar
SA-3493	Cultivar
SA-3748	Cultivar
SA-3749	Cultivar
SA-3777	Cultivar
SA-3778	Cultivar
SA-3781	Cultivar
Ligon1	Mutant
M1	Mutant
M11	Mutant
M12	Mutant
M2	Mutant
M3	Mutant
M4	Mutant
M5	Mutant
M6	Mutant
M7	Mutant
M733_7	Mutant
M737-10	Mutant
M738_3	Mutant
M8	Mutant
M835	Mutant
M9	Mutant
MISU001	Mutant
MISU002	Mutant
MISU003	Mutant
MISU004	Mutant
11-2091-1	Wild
Nov-00	Wild
BPS1148	Wild
BPS1149	Wild
BPS1151	Wild
BPS1152	Wild
BPS1157	Wild
BPS1173	Wild
BPS1206	Wild
BPS1207	Wild
BPS1209	Wild
BPS1238	Wild
BPS1239	Wild
BPS1240	Wild
BPS1242	Wild
BPS1244	Wild
BPS1247	Wild
KLM1872	Wild
LKSP	Wild
OWS	Wild
Sani	Wild
TX_0006	Wild
TX_0009	Wild
TX_0012	Wild
TX_0014	Wild
TX-0044	Wild
TX-0069	Wild
TX-0087	Wild
TX_0089	Wild
TX_0109	Wild
TX_0112	Wild
TX_0130	Wild
TX_0147	Wild
TX-0180	Wild
TX-0194	Wild
TX_0200	Wild
TX-0213	Wild
TX_0215	Wild
TX_0217	Wild
TX_0240	Wild
TX_0248	Wild
TX_0249	Wild
TX-0279	Wild
TX_0286	Wild
TX-0303	Wild
TX-0315	Wild
TX_0390	Wild
TX_0461	Wild
TX-0480	Wild
TX-0481	Wild
TX_0487	Wild
TX_0634	Wild
TX-0662	Wild
TX-0663	Wild
TX_0664	Wild
TX_0665	Wild
TX-0668	Wild
TX-0670	Wild
TX-0672	Wild
TX_0674	Wild
TX_0686	Wild
TX_0691	Wild
TX_0698	Wild
TX_0704	Wild
TX_0710	Wild
TX_0712	Wild
TX_0713	Wild
TX_0746	Wild
TX_0751	Wild
TX_0752	Wild
TX_0756	Wild
TX-0786	Wild
TX_0834	Wild
TX-0853	Wild
TX_0879	Wild
TX_0902	Wild
TX_0937	Wild
TX_0939	Wild
TX-0953	Wild
TX_0956	Wild
TX_0959	Wild
TX-0967	Wild
TX-0969	Wild
TX_1009	Wild
TX-1037	Wild
TX-1046	Wild
TX-1055	Wild
TX-1066	Wild
TX_1075	Wild
TX-1089	Wild
TX-1102	Wild
TX-1105	Wild
TX-1106	Wild
TX-1107	Wild
TX_1108	Wild
TX-1110	Wild
TX_1111	Wild
TX_1113	Wild
TX-1115	Wild
TX_1120	Wild
TX-1168	Wild
TX-1182	Wild
TX_1183	Wild
TX-1226	Wild
TX-1228	Wild
TX-1229	Wild
TX-1236	Wild
TX-1244	Wild
TX-1245	Wild
TX_1249	Wild
TX-1257	Wild
TX-1262	Wild
TX-1263	Wild
TX-1273	Wild
TX_1286	Wild
TX-1288	Wild
TX-1292	Wild
TX-1311	Wild
TX-1317	Wild
TX_1349	Wild
TX_1367	Wild
TX-1373	Wild
TX-1416	Wild
TX-1420	Wild
TX-1422	Wild
TX-1439	Wild
TX-1443	Wild
TX_1453	Wild
TX-1459	Wild
TX-1477	Wild
TX-1487	Wild
TX-1496	Wild
TX-1497	Wild
TX-1503	Wild
TX-1509	Wild
TX-1514	Wild
TX_1515	Wild
TX-1520	Wild
TX-1551	Wild
TX-1572	Wild
TX-1578	Wild
TX_1579	Wild
TX-1582	Wild
TX-1586	Wild
TX-1592	Wild
TX_1594	Wild
TX-1596	Wild
TX-1629	Wild
TX-1635	Wild
TX-1661	Wild
TX-1666	Wild
TX-1672	Wild
TX-1674	Wild
TX_1678	Wild
TX_1688	Wild
TX-1689	Wild
TX_1690	Wild
TX_1694	Wild
TX_1698	Wild
TX-1699	Wild
TX-1702	Wild
TX-1705	Wild
TX-1712	Wild
TX-1721	Wild
TX-1748	Wild
TX_1792	Wild
TX-1833	Wild
TX_1855	Wild
TX_1859	Wild
TX_1874	Wild
TX_1894	Wild
TX_1895	Wild
TX-1905	Wild
TX-1920	Wild
TX_1925	Wild
TX-1929	Wild
TX-1931	Wild
TX-1935	Wild
TX-1957	Wild
TX-1968	Wild
TX_1975	Wild
TX-1981	Wild
TX-1982	Wild
TX-1988	Wild
TX-1990	Wild
TX-1996	Wild
TX_2003	Wild
TX-2081	Wild
TX-2089	Wild
TX-2090	Wild
TX-2091	Wild
TX-2092	Wild
TX-2093	Wild
TX-2095	Wild
TX-2096	Wild
TX-2116	Wild
TX_2160	Wild
TX-2163	Wild
TX-2166	Wild
TX_2174	Wild
TX-2192	Wild
TX-2207	Wild
TX_2211	Wild
TX-2213	Wild
TX-2216	Wild
TX_2226	Wild
TX-2228	Wild
TX-2246	Wild
TX_2247	Wild
TX_2249	Wild
TX_2252	Wild
TX_2253	Wild
TX_2254	Wild
TX_2276	Wild
TX_2277	Wild
TX_2284	Wild
TX-2288	Wild
TX-2329	Wild
TX_2330	Wild
TX-2335	Wild
TX_2400	Wild
TX_2405	Wild
TX-2415	Wild
TX-2417	Wild
TX_2463	Wild
TX-2465	Wild
TX-2470	Wild
TX_2475	Wild
TX-2482	Wild
TX-2487	Wild
TX-2489	Wild
TX-2495	Wild
Coastland-320	Cultivar
phy76	Cultivar
PS_7	Cultivar
SA_0706	Cultivar
SA_1497	Cultivar
TX_2350	Cultivar
olg2_10	Wild
olg2_11	Wild
olg2_12	Wild
olg2_13	Wild
olg2_14	Wild
olg2_15	Wild
olg2_17	Wild
olg2_18	Wild
olg2_2	Wild
olg2_3	Wild
olg2_4	Wild
olg2_5	Wild
olg2_6	Wild
olg2_8	Wild
GB-CL1-1	Mutant
GB-CL2-1	Mutant
M434-12	Mutant
M435-7	Mutant
M436_7	Mutant
M437_9	Mutant
M439_10	Mutant
M440-5	Mutant
M538-11	Mutant
M539_15	Mutant
M540_5	Mutant
M633_5	Mutant
M634_3	Mutant
M637_2	Mutant
nb-1	Mutant
G2223	Wild
GPS_005	Wild
K101	Wild
light_brown	Wild
NE-7018	Wild
GB-0034	Wild
GB-0049	Wild
GB-0051	Wild
GB-0052	Wild
GB-0053	Wild
GB_0085	Improved
GB-0087	Wild
GB_0091	Wild
GB-0093	Improved
GB-0095	Wild
GB-0102	Wild
GB-0113	Wild
GB-0119	Wild
GB-0128	Wild
GB-0136	Wild
GB-0140	Wild
GB_0144	Wild
GB-0156	Wild
GB-0167	Wild
GB-0169	Wild
GB-0176	Wild
GB-0181	Wild
GB-0183	Wild
GB_0192	Wild
GB_0193	Wild
GB_0204	Improved
GB-0211	Improved
GB-0212	Improved
GB_0220	Improved
GB_0224	Improved
GB-0227	Improved
GB_0230	Improved
GB-0232	Improved
GB_0238	Improved
GB-0242	Improved
GB-0245	Improved
GB_0249	Improved
GB_0251	Improved
GB_0252	Improved
GB_0254	Improved
GB_0255	Improved
GB_0258	Improved
GB_0262	Wild
GB-0264	Wild
GB-0273	Wild
GB_0275	Wild
GB-0278	Wild
GB-0281	Wild
GB_0303	Wild
GB-0307	Wild
GB_0309	Wild
GB_0313	Wild
GB_0314	Wild
GB_0320	Wild
GB_0333	Wild
GB-0335	Wild
GB-0337	Wild
GB_0339	Wild
GB-0348	Wild
GB_0349	Wild
GB-0358	Wild
GB-0359	Wild
GB-0361	Wild
GB-0371	Wild
GB-0376	Wild
GB-0377	Wild
GB-0382	Wild
GB-0386	Wild
GB-0394	Wild
GB_0426	Wild
GB_0428	Wild
GB_0429	Wild
GB-0430	Wild
GB-0434	Wild
GB-0440	Wild
GB-0457	Wild
GB_0461	Improved
GB_0467	Improved
GB-0489	Wild
GB-0517	Wild
GB-0524	Wild
GB-0533	Wild
GB-0536	Wild
GB_0542	Wild
GB-0569	Wild
GB-0571	Wild
GB-0593	Wild
GB-0594	Wild
GB_0600	Wild
GB-0623	Wild
GB_0631	Wild
GB-0636	Wild
GB_0647	Improved
GB_0648	Improved
GB-0649	Improved
GB-0651	Wild
GB-0655	Improved
GB_0657	Improved
GB_0660	Improved
GB_0662	Improved
GB_0683	Improved
GB_0720_Merge	Improved
GB_0739_Merge	Improved
GB-0740	Improved
GB-0776	Wild
GB_0785_Merge	Improved
GB_0790_Merge	Improved
GB_0805	Improved
GB-0816	Wild
GB-0864	Wild
GB_1027	Improved
GB_1031	Improved
GB_1063	Wild
GB_1067	Wild
GB_1069	Improved
GB_1084	Improved
GB_1086	Improved
GB_1329	Improved
GB_1336	Improved
GB_1383	Improved
GB_1384	Improved
GB-1386	Improved
GB_1388	Improved
GB-1438	Improved
GB_1439	Improved
GB_1444	Improved
GB_1449	Improved
GB_1459	Improved
GB_1462	Improved
GB_1464	Improved
GB_1465	Improved
GB-1468	Improved
GB_1480	Improved
GB_1482	Improved
GB_1483	Improved
GB_1512	Improved
GB_1513	Improved
GB287-2	Wild
GB414-2	Wild
GB427-2	Wild
