	V1	V2	V3	V4	accession
B22GB0262	0.0494	0.2053	-0.2892	0.0411	Wild
B22GB0623	-0.0574	0.1831	-0.2808	0.0705	Wild
B22GB0631	-0.0428	0.1767	-0.2493	0.1547	Wild
B22OLG-14	-0.0539	0.168	-0.1662	0.0934	Wild
B22OLG-18	-0.0794	0.2152	-0.2232	0.1069	Wild
B22OLG-05	-0.1009	0.1945	-0.1621	0.0735	Wild
B22OLG-13	-0.1179	0.137	-0.0174	-0.0386	Wild
B22OLG-04	-0.1202	0.0996	0.0849	-0.0592	Wild
B22OLG-17	-0.1271	0.1012	0.0907	-0.0977	Wild
B22OLG-08	-0.0913	0.152	-0.013	-0.0457	Wild
B22OLG-03	-0.1404	0.129	0.1085	-0.1054	Wild
B22GB0542	-0.1456	0.1254	0.1208	-0.0912	Wild
B22OLG-06	-0.1424	0.1326	0.0933	-0.0882	Wild
B22OLG-02	-0.1458	0.1439	0.118	-0.108	Wild
B22OLG-12	-0.097	0.1673	0.0227	-0.0949	Wild
B22OLG-15	-0.1413	0.1364	0.1065	-0.0838	Wild
B22OLG-10	-0.1564	0.1587	0.1249	-0.1074	Wild
B22GB1067	-0.1453	0.1365	0.1442	-0.0721	Wild
P221GB0414	-0.1187	0.0594	0.0469	-0.0766	Landrace1
B22GB0414-2	-0.1233	0.0651	0.0512	-0.0827	Landrace1
B22GB0536	-0.1209	0.0535	0.0513	-0.0975	Landrace1
P221GB0411	-0.1161	0.0552	0.0298	-0.0913	Landrace1
B22GB0600	-0.0891	0.0116	0.0252	-0.0449	Landrace1
B22GB0307	-0.0891	0.0083	0.0188	-0.0633	Landrace1
B22GB0314	-0.0999	0.0214	0.0227	-0.084	Landrace1
B22GB0320	-0.0697	0.0262	0.0719	0.1206	Landrace1
B22GB0371	-0.0656	-0.0298	-0.0053	-0.009	Landrace1
P221GB0369	-0.0442	0.0032	0.0112	-0.0535	Landrace1
B22GB0594	-0.0625	-0.0082	0.0273	0.0299	Landrace1
B22GB0394	-0.043	-0.0443	0.0276	0.0665	Landrace1
B22GB0309	-0.0576	-0.0249	0.0255	0.0268	Landrace1
B22GB0313	-0.0791	-0.0058	0.0212	-0.013	Landrace1
B22GB0636	-0.0357	-0.0515	0.0334	0.1062	Landrace1
B22GB0335	-0.0426	-0.0103	0.0542	0.1135	Landrace1
B22LB	-0.0629	0.0236	0.0519	0.0376	Landrace1
B22GB0113	-0.0509	-0.0222	0.0239	0.06	Landrace1
B22GB0333	-0.0675	0.0403	0.0609	0.0656	Landrace1
B22GB0176	-0.0327	-0.0096	0.0403	0.0184	Landrace1
B22GB0144	-0.0394	-0.0118	0.0199	0.0145	Landrace1
B22GB0169	-0.0405	0.0146	0.0638	0.0406	Landrace1
B22GB0156	-0.059	0.0359	0.0904	0.0648	Landrace1
B22GB0167	-0.0595	0.0357	0.0917	0.0627	Landrace1
B21GB1383	-0.0219	-0.0268	0.0595	0.2142	Landrace1
B21GB0085	0.0253	0.005	0.0723	0.2176	Landrace1
B21GB1384	-0.0198	-0.0253	0.0677	0.2381	Landrace1
B21GB0657	-0.0277	-0.0299	0.0519	0.2137	Landrace1
B21GB0660	-0.0176	-0.0189	0.0815	0.2023	Landrace1
B21GB1386	-0.0256	-0.0229	0.0607	0.21	Landrace1
B21GB1459	-0.0216	-0.0205	0.0671	0.2455	Landrace1
B21GB1388	-0.0211	-0.0133	0.0652	0.2466	Landrace1
B22GB0428	-0.0168	-0.0577	0.0104	0.0606	Landrace2
B22GB0128	-0.0201	-0.0585	0.0058	0.05	Landrace2
B22GB1063	-0.0253	-0.0658	0.0049	0.0605	Landrace2
B22GB0358	-0.0214	-0.0667	-0.0057	0.0573	Landrace2
B22GB0102	-0.0222	-0.0687	-0.0045	0.0413	Landrace2
P221GB0074	-0.0297	-0.0555	-0.0275	-0.0135	Landrace2
B22GB0181	-0.0198	-0.0734	-0.0155	0.0217	Landrace2
B22GB0434	-0.0132	-0.0724	-0.0262	-0.0162	Landrace2
B22GB0119	-0.0254	-0.0691	-0.0294	-0.0209	Landrace2
B22GB0136	-0.0215	-0.0652	-0.0225	-0.0086	Landrace2
B22GB0524	-0.047	-0.0261	-0.0095	-0.0637	Landrace2
B22GB0140	-0.0319	-0.0532	-0.023	-0.026	Landrace2
B22GB0382	-0.0248	-0.0805	-0.0346	-0.0269	Landrace2
B22GB0087	-0.0299	-0.0782	-0.0337	-0.0053	Landrace2
B22GB0386	-0.0302	-0.07	-0.0157	0.0095	Landrace2
B22GB0348	-0.0284	-0.085	-0.0434	-0.0154	Landrace2
B22GB0430	-0.0313	-0.0751	-0.0197	0.0078	Landrace2
B22GB0569	-0.025	-0.0742	-0.0116	0.0254	Landrace2
B22GB0571	-0.031	-0.0766	-0.0258	0.0062	Landrace2
B22GB0440	-0.0399	-0.0846	-0.0427	-0.0222	Landrace2
P221GB0618	-0.0338	-0.0726	-0.0363	-0.0144	Landrace2
B22GB0618-2	-0.038	-0.0675	-0.0337	-0.0222	Landrace2
B22GB0376	-0.0457	-0.0735	-0.0283	-0.0067	Landrace2
B22GB0377	-0.0378	-0.0902	-0.0523	-0.0505	Landrace2
B22GB0776	-0.026	-0.0943	-0.0502	-0.0363	Landrace2
B22GB0339	-0.0196	-0.0943	-0.0584	-0.04	Landrace2
B22GB0337	-0.0211	-0.0908	-0.0552	-0.034	Landrace2
B22GB0457	-0.0252	-0.0932	-0.0532	-0.0549	Landrace2
P221GB0398	-0.0295	-0.0783	-0.0631	-0.0586	Landrace2
P221GB0385	-0.0376	-0.0929	-0.075	-0.0747	Landrace2
P221GB0287	-0.038	-0.0915	-0.0751	-0.0762	Landrace2
B22GB0287-2	-0.0414	-0.0892	-0.0715	-0.0816	Landrace2
B22GB0426	0.0153	-0.0517	0.0046	-0.0128	Landrace2
B22GB0193	-0.0213	-0.085	-0.0454	-0.0383	Landrace2
