ID,Type,Latitude,Longitude
B12BPS1244,Wild,17.951443,-67.195742
B12BPS1247,Wild,17.951443,-67.195742
B12TX2276,Wild,18.453174,-70.734689
B12TX2091,Wild,21.209552,-89.308806
B12TX2090,Wild,21.209552,-89.308806
B12TX2093,Wild,18.806656,-89.398528
B12TX2092,Wild,18.806656,-89.398528
B12TX1996,Wild,21.355988,-89.119973
B12TX2095,Wild,18.806656,-89.398528
P121TX2094,Wild,21.5467,-88.4
P124TX2094,Wild,19.8067,-90.5
B12TX1678,Wild,10.641039,-63.489153
B12BPS1173,Wild,17.731035,-77.183024
B12TX0969,Wild,17.736179,-77.239078
B12TX0967,Wild,17.944444,-76.752222
B12TX1894,Wild,9.939906,-65.161056
B12TX1037,Wild,10.048325,-65.046498
B12LKSP,Wild,24.816106,-80.823053
B12BPS1206,Wild,24.865281,-80.714512
B12TX2211,Wild,12.233333,-68.4
B12BPS1152,Wild,12.055793,-68.825789
B12BPS1148,Wild,12.056308,-68.837296
B12BPS1151,Wild,12.065742,-68.852336
B12BPS1149,Wild,12.065742,-68.852336
B12BPS1242,Landrace1,17.939733,-66.953894
B12BPS1238,Landrace1,17.939733,-66.953894
B12BPS1239,Landrace1,17.939733,-66.953894
B12BPS1240,Landrace1,17.939733,-66.953894
B12TX2495,Landrace1,-5.40258,-36.954107
B12TX2465,Landrace1,-7.052963,-38.783449
B12TX2487,Landrace1,-2.905545,-41.773363
B12TX2463,Landrace1,-7.239961,-36.78195
B12TX2470,Landrace1,-3.931299,-38.379758
B12TX2475,Landrace1,-7.696205,-38.945933
B12TX2482,Landrace1,-8.813717,-36.954107
B12TX2415,Landrace1,-6.994243,-36.712704
B12TX2489,Landrace1,-7.077616,-41.467374
B12TX1416,Landrace1,-7.842875,-36.132813
B12TX2417,Landrace1,-6.871798,-36.92131
B12TX1698,Landrace1,10.652989,-71.598474
B12TX1705,Landrace1,9.721064,-75.115733
B12TX0902,Landrace1,21.796034,-79.980814
B12TX1931,Landrace1,8.049293,-75.57405
B12TX1935,Landrace1,8.950643,-75.446001
B12TX1066,Landrace1,8.049293,-75.57405
B12TX1929,Landrace1,7.29117,-75.39215
B12TX1920,Landrace1,3.658519,-76.690846
B12TX0939,Landrace1,4.149819,-74.884341
B12TX1957,Landrace1,6.956107,-71.872595
B12TX1925,Landrace1,4.747221,-75.911629
B12TX1592,Landrace1,18.280725,-73.39592
B12TX0710,Landrace1,12.490741,-87.178433
B12TX0713,Landrace1,11.934407,-85.956001
B12TX0691,Landrace1,13.319857,-87.162234
B12TX0956,Landrace1,12.114993,-86.236174
B12TX0712,Landrace1,12.490741,-87.178433
B12TX1594,Landrace1,18.261864,-73.54837
B12TX1596,Landrace1,18.835013,-72.103106
B12TX1833,Landrace1,18.963615,-72.718583
B12TX1586,Landrace1,18.243006,-72.526398
B12TX1582,Landrace1,18.456533,-72.619552
B12TX1263,Landrace1,18.735693,-70.162651
B12TX1792,Landrace1,15.86006,-61.607065
B12TX1572,Landrace1,18.453174,-70.734689
B12TX2207,Landrace1,12.20189,-68.262382
B12TX2192,Landrace1,12.16957,-68.99002
B12TX2213,Landrace1,12.509204,-70.008631
B12TX2216,Landrace1,12.52111,-69.968338
B12TX1874,Landrace1,13.295473,-59.650054
B12TX2003,Landrace1,19.699444,-89.990278
B12TX0674,Landrace1,20.96737,-89.592586
B12TX1373,Landrace1,17.302606,-62.717692
B12TX1367,Landrace1,18.428612,-64.618466
B12TX1635,Landrace1,13.234325,-59.643838
B12TX1629,Landrace1,16.244422,-61.176607
B12TX1859,Landrace1,16.254264,-61.283115
B12TX1236,Landrace1,20.96737,-89.592586
B12TX1075,Landrace1,15.514668,-61.267081
B12TX2284,Landrace1,18.198567,-66.967678
B12TX1666,Landrace1,10.338541,-65.971565
B12TX1496,Landrace1,9.35645,-70.43724
B12TX1515,Landrace1,10.38248,-71.179726
B12TX1514,Landrace1,10.38248,-71.179726
B12TX1229,Landrace1,18.109581,-77.297508
B12TX2246,Landrace1,18.013298,-76.741837
B12TX2226,Landrace1,17.789013,-77.26925
B12TX1690,Landrace1,9.037128,-69.728693
B12TX1674,Landrace1,8.336504,-62.686175
B12TX1694,Landrace1,9.81587,-70.932389
B12TX1520,Landrace1,10.063576,-67.284787
B12TX1503,Landrace1,10.492342,-68.196799
B12TX1497,Landrace1,10.067772,-69.347351
B12TX1487,Landrace1,10.067772,-69.347351
B12TX1905,Landrace1,9.368315,-69.210272
B12TX1288,Landrace1,10.814243,-63.834517
B12TX1509,Landrace1,9.97701,-69.93834
B12TX1286,Landrace1,8.569824,-71.180499
B12TX1689,Landrace1,9.339811,-69.001648
B12TX0834,Landrace1,9.733391,-63.191432
B12TX1672,Landrace1,10.133491,-65.419311
B12TX1245,Landrace1,6.42375,-66.58973
B12TX2166,Landrace1,10.26255,-61.453032
B12TX2160,Landrace1,11.233691,-60.698891
B12TX1688,Landrace1,8.882,-64.232974
B12TX1273,Landrace1,3.222095,-75.241066
B12TX2174,Landrace1,10.673215,-61.063148
B12TX0853,Landrace1,12.1165,-61.679
B12TX1551,Landrace1,15.349001,-61.389566
B12TX2247,Landrace1,18.013298,-76.741837
B12TX1089,Landrace1,18.340151,-67.249946
B12TX2277,Landrace1,18.33601,-70.179813
B12TX1578,Landrace1,18.47207,-69.299673
B12TX1579,Landrace1,18.448512,-69.609214
B12TX2405,Landrace2,-1.998162,-54.07284
B12TX1661,Landrace2,10.27085,-66.70412
B12TX1699,Landrace2,11.458976,-69.564854
B12TX1712,Landrace2,4.091354,-72.955918
B12TX2163,Landrace2,10.091049,-61.525283
B12TX1009,Landrace2,14.326195,-89.45058
B12TX1477,Landrace2,11.394604,-69.681034
B12TX2335,Landrace2,9.989922,-85.698046
B12TX2116,Landrace2,9.977844,-84.829421
B12TX0390,Landrace2,13.183333,-88.416667
B12TX1317,Landrace2,12.303676,-86.050411
B12TX1855,Landrace2,16.242494,-61.389311
B12TX0194,Landrace2,16.564749,-96.730667
B12TX0147,Landrace2,17.080292,-96.763773
P124TX0171,Landrace2,17.0732,-96.7266
B12TX0286,Landrace2,16.954186,-96.707929
B12TX0130,Landrace2,16.796499,-96.65329
B12TX0279,Landrace2,16.868015,-96.784201
B12TX1244,Landrace2,8.569824,-71.180499
B12TX0746,Landrace2,18.444167,-98.3625
B12TX0751,Landrace2,18.75,-99.33329773
B12TX0012,Landrace2,22.147593,-102.41298
B12TX0461,Landrace2,16.505027,-95.202657
B12TX0014,Landrace2,16.184284,-95.208762
P124TX0463,Landrace2,16.5611,-95.0963
B12TX0009,Landrace2,23.634501,-102.552784
B12TX2330,Landrace2,19.127797,-104.339114
P124TX0246,Landrace2,17.4392,-99.5451
B12TX0315,Landrace2,16.609444,-98.23
P124TX0236,Landrace2,14.1931,-89.9253
B12TX2288,Landrace2,17.958455,-66.86186
B12TX0249,Landrace2,14.627833,-89.440208
B12TX0303,Landrace2,17.07942,-96.719268
P124TX0368,Landrace2,14.5704,-89.3369
B12TX1168,Landrace2,16.725278,-93.019503
B12TX0044,Landrace2,16.553498,-92.806946
P124TX0045,Landrace2,16.7569,-93.1292
B12TX1105,Landrace2,16.756932,-93.129235
P124TX0018,Landrace2,16.7516,-93.103
B12TX1102,Landrace2,16.756932,-93.129235
B12TX0087,Landrace2,14.421598,-91.404825
B12TX0248,Landrace2,14.565515,-89.925323
B12TX1443,Landrace2,15.105212,-90.316029
B12TX0756,Landrace2,20.446247,-97.377259
B12TX1249,Landrace2,-1.189933,-47.175772
B12TX0786,Landrace2,17.921366,-87.961091
B12TX1721,Landrace2,12.545015,-81.707579
B12TX2249,Landrace2,19.382342,-81.38943
B12BPS1207,Landrace2,25.745929,-80.554956
B12TX2253,Landrace2,19.310049,-81.183052
B12TX2252,Landrace2,19.280717,-81.298677
B12TX1257,Landrace2,23.446362,-110.22651
B12TX1183,Landrace2,23.446362,-110.22651
B12TX1182,Landrace2,22.882488,-109.913912
B12TX1115,Landrace2,23.249415,-106.411142
B12TX1055,Landrace2,19.341437,-96.21944
B12TX1110,Landrace2,18.883891,-96.923775
B12TX1113,Landrace2,19.406757,-102.017391
B12TX1349,Landrace2,19.113809,-104.338462
B12TX2329,Landrace2,19.113809,-104.338462
B12TX1292,Landrace2,19.456674,-100.493056
B12TX0698,Landrace2,15.33918,-87.982476
B12TX0959,Landrace2,19.403719,-96.355396
B12TX1226,Landrace2,19.224636,-96.369148
B12TX1459,Landrace2,24.26694,-98.836275
B12TX0665,Landrace2,20.96737,-89.592586
B12TX1228,Landrace2,19.39084,-96.636673
B12TX0672,Landrace2,20.96737,-89.592586
B12TX1975,Landrace2,20.629559,-87.073885
B12TX1968,Landrace2,16.415378,-98.520693
B12TX2081,Landrace2,19.767742,-90.224219
B12TX1895,Landrace2,10.151944,-64.938056
B12TX0481,Landrace2,20.96737,-89.592586
B12TX0664,Landrace2,20.96737,-89.592586
B12TX1107,Landrace2,18.806656,-89.398528
B12TX1981,Landrace2,21.145469,-88.149609
B12TX1982,Landrace2,21.388333,-88.145278
B12TX1988,Landrace2,20.706944,-88.810278
B12TX0670,Landrace2,20.96737,-89.592586
B12TX1990,Landrace2,20.93,-89.022713
B12TX2228,Landrace2,18.066965,-77.516079
B12TX0662,Landrace2,20.96737,-89.592586
B12TX1748,Landrace2,18.806656,-89.398528
B12TX1439,Landrace2,21.248205,-89.042196
B12TX0480,Landrace2,20.96737,-89.592586
B12TX1106,Landrace2,18.806656,-89.398528
B12TX0069,Landrace2,14.524549,-91.685788
B12TX1046,Landrace2,21.136256,-89.516198
B12TX2400,Landrace2,-3.820408,-60.365781
B12TX2254,Landrace2,19.299615,-81.109954
B12KLM1872,Landrace2,1.912307024,73.54009247
B12TX0879,Landrace2,18.312979,-65.316204
B12TX0217,Landrace2,14.451809,-89.740343
P121TX0231,Landrace2,14.9676,-89.5356
B12TX0937,Landrace2,4.304596,-74.803141
B12TX1111,Landrace2,19.260161,-96.578339
B12TX0663,Landrace2,20.96737,-89.592586
B12TX2089,Landrace2,21.09608,-89.473793
B12TX2096,Landrace2,18.806656,-89.398528
B12TX0686,Landrace2,15.053741,-89.503745
B12BPS1157,Landrace2,12.20189,-68.262382
B12TX1120,Landrace2,19.447645,-96.404408
B12TX0668,Landrace2,20.96737,-89.592586
B12TX1108,Landrace2,18.806656,-89.398528
B12TX0487,Landrace2,20.96737,-89.592586
B12TX0752,Landrace2,18.7718,-99.3534
B12TX0953,Landrace2,16.322699,-95.24233
B12TX0213,Landrace2,14.19308,-89.925323
B12TX0006,Landrace2,18.913123,-98.429389
B12TX0089,Landrace2,14.421598,-91.404825
B12TX0634,Landrace2,15.65,-88.4
B12TX0215,Landrace2,14.20172,-89.791945
B12TX0200,Landrace2,14.632548,-89.993005
B12TX0240,Landrace2,14.821091,-89.389429
B12TX1453,Landrace2,22.15647,-100.985541
B12TX0112,Landrace2,14.714361,-89.494889
B12TX0109,Landrace2,15.88876,-97.07195
