SampleID,SampleID2,Name,Type1,Gene Pool,Country,State,City,Lat2,Lon2,Type
GB-0085,GB0085,Tanguis LMW 12-40,Cultivar,Pima,Peru,,,-9.17,-74.36,Cultivar
GB-0093,GB0093,LA CHIMBA #2,Cultivar,Hybrid-B?,Chile,,,-34.24,-71.22,Cultivar
GB-0204,GB0204,Mono 57,Cultivar,,Togo,Kolokope,,7.80,1.29,Cultivar
GB-0211,GB0211,Lambert X1730,Cultivar,,Sudan,El Gizira,Wad Medani,14.41,33.51,Cultivar
GB-0212,GB0212,CB 2761,Cultivar,,Ethiopia,Diredawa,,9.61,42.01,Cultivar
GB-0220,GB0220,Old Pima,Cultivar,Pima,United States,,,39.50,-98.99,Cultivar
GB-0224,GB0224,Pima S-1,Cultivar,Hybrid-B,United States,,,39.50,-98.99,Cultivar
GB-0230,GB0230,Ashmouni Giza 32,Cultivar,Hybrid-B,Egypt,,,26.58,29.78,Cultivar
GB-0232,GB0232,Bahtim 185,Cultivar,,Egypt,,,26.58,29.78,Cultivar
GB-0238,GB0238,Sea Islands 12B2,Cultivar,Hybrid-B,United States,,,39.50,-98.99,Cultivar
GB-0242,GB0242,Barb Taashkent,Cultivar,,Uzbekistan,Tashkent,,41.32,69.31,Cultivar
GB-0245,GB0245,Sea Islands,Cultivar,,United States,,,39.50,-98.99,Cultivar
GB-0251,GB0251,Superfine V46,Cultivar,,United States,,,39.50,-98.99,Cultivar
GB-0254,GB0254,Russian Sea Islands,Cultivar,Pima?,Russia,,,61.76,99.88,Cultivar
GB-0255,GB0255,Russian,Cultivar,,Russia,,,61.76,99.88,Cultivar
GB-0258,GB0258,Fiji Sea Islands,Cultivar,,Fiji,,,-17.84,177.96,Cultivar
GB-0461,GB0461,Mono 57,Cultivar,,Togo,Kolokope,,7.80,1.29,Cultivar
GB-0467,GB0467,AZB 1020,Cultivar,,Phillipines,Luzon,Manila,14.61,120.98,Cultivar
GB-0647,GB0647,Bobo,Cultivar,,Ivory Coast,,,7.62,-5.55,Cultivar
GB-0648,GB0648,Grand Akoudsin,Cultivar,,Ivory Coast,,,7.62,-5.55,Cultivar
GB-0649,GB0649,Ishan Nigeria,Cultivar,,Ivory Coast,,,7.62,-5.55,Cultivar
