SortID,ID,Type,Latitude,Longitude,Public
402,SA-3348,Cultivar,-38.42,-63.62,No
373,SA-1759,Cultivar,-34.60,-58.38,No
387,SA-2589,Cultivar,-30.56,22.94,No
349,SA-1278,Cultivar,-26.78,31.93,No
330,SA-0982,Cultivar,-25.78,31.04,No
294,DIV_296,Cultivar,-25.65,27.26,No
380,SA-2330,Cultivar,-25.65,27.26,No
352,SA-1349,Cultivar,-22.91,-47.06,No
407,SA-3444,Cultivar,-18.77,46.87,No
35,B12TX2482,Landrace1,-8.81,-36.95,No
38,B12TX1416,Landrace1,-7.84,-36.13,No
34,B12TX2475,Landrace1,-7.70,-38.95,No
32,B12TX2463,Landrace1,-7.24,-36.78,No
37,B12TX2489,Landrace1,-7.08,-41.47,No
30,B12TX2465,Landrace1,-7.05,-38.78,No
36,B12TX2415,Landrace1,-6.99,-36.71,No
39,B12TX2417,Landrace1,-6.87,-36.92,No
350,SA-1291,Cultivar,-6.37,34.89,No
29,B12TX2495,Landrace1,-5.40,-36.95,No
33,B12TX2470,Landrace1,-3.93,-38.38,No
202,B12TX2400,Landrace2,-3.82,-60.37,No
31,B12TX2487,Landrace1,-2.91,-41.77,No
114,B12TX2405,Landrace2,-2.00,-54.07,No
158,B12TX1249,Landrace2,-1.19,-47.18,No
238,DIV_059,Cultivar,0.35,32.58,No
287,DIV_058,Cultivar,0.35,32.58,No
348,SA-1263,Cultivar,0.35,32.58,No
455,P113Ug4,Cultivar,1.37,32.29,Yes
316,SA-0333,Cultivar,1.37,32.29,No
327,SA-0904,Cultivar,1.37,32.29,No
204,B12KLM1872,Landrace2,1.91,73.54,No
388,SA-2597,Cultivar,3.20,73.22,No
105,B12TX1273,Landrace1,3.22,-75.24,No
47,B12TX1920,Landrace1,3.66,-76.69,No
117,B12TX1712,Landrace2,4.09,-72.96,No
48,B12TX0939,Landrace1,4.15,-74.88,No
208,B12TX0937,Landrace2,4.30,-74.80,No
50,B12TX1925,Landrace1,4.75,-75.91,No
101,B12TX1245,Landrace1,6.42,-66.59,No
49,B12TX1957,Landrace1,6.96,-71.87,No
46,B12TX1929,Landrace1,7.29,-75.39,No
398,SA-3332,Cultivar,7.37,12.35,No
399,SA-3335,Cultivar,7.37,12.35,No
43,B12TX1931,Landrace1,8.05,-75.57,No
45,B12TX1066,Landrace1,8.05,-75.57,No
88,B12TX1674,Landrace1,8.34,-62.69,No
97,B12TX1286,Landrace1,8.57,-71.18,No
132,B12TX1244,Landrace2,8.57,-71.18,No
351,SA-1330,Cultivar,8.59,16.08,No
104,B12TX1688,Landrace1,8.88,-64.23,No
44,B12TX1935,Landrace1,8.95,-75.45,No
87,B12TX1690,Landrace1,9.04,-69.73,No
381,SA-2356,Cultivar,9.08,8.68,No
410,SA-3489,Cultivar,9.08,8.68,No
98,B12TX1689,Landrace1,9.34,-69.00,No
81,B12TX1496,Landrace1,9.36,-70.44,No
94,B12TX1905,Landrace1,9.37,-69.21,No
41,B12TX1705,Landrace1,9.72,-75.12,No
99,B12TX0834,Landrace1,9.73,-63.19,No
89,B12TX1694,Landrace1,9.82,-70.93,No
16,B12TX1894,Wild,9.94,-65.16,No
96,B12TX1509,Landrace1,9.98,-69.94,No
122,B12TX2116,Landrace2,9.98,-84.83,No
121,B12TX2335,Landrace2,9.99,-85.70,No
17,B12TX1037,Wild,10.05,-65.05,No
90,B12TX1520,Landrace1,10.06,-67.28,No
92,B12TX1497,Landrace1,10.07,-69.35,No
93,B12TX1487,Landrace1,10.07,-69.35,No
118,B12TX2163,Landrace2,10.09,-61.53,No
100,B12TX1672,Landrace1,10.13,-65.42,No
185,B12TX1895,Landrace2,10.15,-64.94,No
102,B12TX2166,Landrace1,10.26,-61.45,No
115,B12TX1661,Landrace2,10.27,-66.70,No
80,B12TX1666,Landrace1,10.34,-65.97,No
254,DIV_211,Cultivar,10.38,-61.23,No
299,DIV_293,Cultivar,10.38,-61.23,No
309,SA-0159,Cultivar,10.38,-61.23,No
310,SA-0165,Cultivar,10.38,-61.23,No
311,SA-0186,Cultivar,10.38,-61.23,No
82,B12TX1515,Landrace1,10.38,-71.18,No
83,B12TX1514,Landrace1,10.38,-71.18,No
91,B12TX1503,Landrace1,10.49,-68.20,No
12,B12TX1678,Wild,10.64,-63.49,No
40,B12TX1698,Landrace1,10.65,-71.60,No
106,B12TX2174,Landrace1,10.67,-61.06,No
95,B12TX1288,Landrace1,10.81,-63.83,No
103,B12TX2160,Landrace1,11.23,-60.70,No
120,B12TX1477,Landrace2,11.39,-69.68,No
116,B12TX1699,Landrace2,11.46,-69.56,No
53,B12TX0713,Landrace1,11.93,-85.96,No
21,B12BPS1152,Wild,12.06,-68.83,No
22,B12BPS1148,Wild,12.06,-68.84,No
23,B12BPS1151,Wild,12.07,-68.85,No
24,B12BPS1149,Wild,12.07,-68.85,No
55,B12TX0956,Landrace1,12.11,-86.24,No
107,B12TX0853,Landrace1,12.12,-61.68,No
66,B12TX2192,Landrace1,12.17,-68.99,No
65,B12TX2207,Landrace1,12.20,-68.26,No
214,B12BPS1157,Landrace2,12.20,-68.26,No
20,B12TX2211,Wild,12.23,-68.40,No
124,B12TX1317,Landrace2,12.30,-86.05,No
52,B12TX0710,Landrace1,12.49,-87.18,No
56,B12TX0712,Landrace1,12.49,-87.18,No
67,B12TX2213,Landrace1,12.51,-70.01,No
68,B12TX2216,Landrace1,12.52,-69.97,No
160,B12TX1721,Landrace2,12.55,-81.71,No
123,B12TX0390,Landrace2,13.18,-88.42,No
74,B12TX1635,Landrace1,13.23,-59.64,No
69,B12TX1874,Landrace1,13.30,-59.65,No
54,B12TX0691,Landrace1,13.32,-87.16,No
374,SA-1766,Cultivar,13.79,-88.90,No
221,B12TX0213,Landrace2,14.19,-89.93,No
143,P124TX0236,Landrace2,14.19,-89.93,No
225,B12TX0215,Landrace2,14.20,-89.79,No
119,B12TX1009,Landrace2,14.33,-89.45,No
154,B12TX0087,Landrace2,14.42,-91.40,No
223,B12TX0089,Landrace2,14.42,-91.40,No
206,B12TX0217,Landrace2,14.45,-89.74,No
200,B12TX0069,Landrace2,14.52,-91.69,No
155,B12TX0248,Landrace2,14.57,-89.93,No
147,P124TX0368,Landrace2,14.57,-89.34,No
145,B12TX0249,Landrace2,14.63,-89.44,No
226,B12TX0200,Landrace2,14.63,-89.99,No
229,B12TX0112,Landrace2,14.71,-89.49,No
227,B12TX0240,Landrace2,14.82,-89.39,No
207,P121TX0231,Landrace2,14.97,-89.54,No
213,B12TX0686,Landrace2,15.05,-89.50,No
156,B12TX1443,Landrace2,15.11,-90.32,No
175,B12TX0698,Landrace2,15.34,-87.98,No
108,B12TX1551,Landrace1,15.35,-61.39,No
237,DIV_046,Cultivar,15.45,18.73,No
78,B12TX1075,Landrace1,15.51,-61.27,No
231,B12TX0704,Landrace2,15.51,-87.99,No
224,B12TX0634,Landrace2,15.65,-88.40,No
63,B12TX1792,Landrace1,15.86,-61.61,No
347,SA-1250,Cultivar,15.87,100.99,No
230,B12TX0109,Landrace2,15.89,-97.07,No
137,B12TX0014,Landrace2,16.18,-95.21,No
125,B12TX1855,Landrace2,16.24,-61.39,No
75,B12TX1629,Landrace1,16.24,-61.18,No
76,B12TX1859,Landrace1,16.25,-61.28,No
220,B12TX0953,Landrace2,16.32,-95.24,No
183,B12TX1968,Landrace2,16.42,-98.52,No
136,B12TX0461,Landrace2,16.51,-95.20,No
149,B12TX0044,Landrace2,16.55,-92.81,No
