ID,UniqueID,ID_Name,SampleID,SampleName,PI,SRA ID,Species,Type,Latitude,Longitude,Country,State/Province,Place,Region,Races,BamFileName,Memo,,,
1,PL111001,P111DP5690,DP5690,Deltapine-5690,PI548822,SRX996760,AD1,Cultivar,37.0902,-95.7129,United States,,,,,DP5690,,,,
2,PL111002,P111Maxxa,Maxxa,Acala Maxxa,PI540885,SRX204794,AD1,Cultivar,37.0902,-95.7129,United States,,,,,Maxxa,,,,
3,PL121003,P121TX2094,TX2094,TX-2094,PI501501,SRX996761,AD1,Wild,21.5467,-88.4000,Mexico,Yucatan,,,,TX_2094,,,,
4,PL111004,P111Cok312,Cok312,Coker-312,PI529278,SRX669469,AD1,Cultivar,37.0902,-95.7129,United States,,,,,Coker_312,,,,
5,PL111005,P111FM832,FM832,Fibermax-832,PI603955,SRX669468,AD1,Cultivar,37.0902,-95.7129,United States,,,,,FM832,,,,
6,PL111006,P111240RNR,240RNR,M-240RNR,PI592511,SRX669467,AD1,Cultivar,37.0902,-95.7129,United States,,,,,MS240,,,,
7,PL111007,P111PD1,PD1,PD-1,PI606805,SRX668322,AD1,Cultivar,37.0902,-95.7129,United States,,,,,PD1,,,,
8,PL111008,P111SL542,SL542,Sealand-542,PI528730,SRX668168,AD1,Cultivar,37.0902,-95.7129,United States,,,,,Sealand-542,,,,
9,PL111009,P111SG747,SG747,SureGrow-747,PI656375,SRX669470,AD1,Cultivar,37.0902,-95.7129,United States,,,,,SG747,,,,
10,PL111010,P111ST474,ST474,Stoneville-474,PI578877,SRX669471,AD1,Cultivar,37.0902,-95.7129,United States,,,,,ST474,,,,
11,PL111011,P111TamSph,TamSph,Tamcot sphinx,PI592801,SRX669472,AD1,Cultivar,37.0902,-95.7129,United States,,,,,Tamcot_Sphinx,,,,
12,PL111012,P111TM1,TM1,Texas Marker-1,PI607172,SRX667500,AD1,Cultivar,37.0902,-95.7129,United States,,,,,TM1,,,,
13,PL121013,P121TX0231,TX0231,TX-0231,PI163725,SRX669473,AD1,Wild,14.9676,-89.5356,Guatemala,,,,,TX321,Should Rename it.,,,
14,PL221014,P221GB0067,GB0067,GB0067,PI528325,SRX996762,AD2,Wild,-9.1900,-75.0152,Peru,,,,,GB67,,,,
15,PL221015,P221GB0074,GB0074,GB0074,PI528330,SRX996763,AD2,Wild,-9.1900,-75.0152,Peru,,,,,GB74,,,,
16,PL211016,P211GB0236,GB0236,GB0236,PI528393,SRX996764,AD2,Cultivar,26.8206,30.8025,Egypt,,,,,GB236,Giza-7,,,
17,PL221017,P221GB0287,GB0287,GB0287,PI265165,SRX996765,AD2,Wild,16.3176,-86.5379,Honduras,Punta Gorda,,,,GB287,,,,
18,PL121018,P121GB0319,GB0319,GB0319,PI528167,SRX996766,AD1,Wild,-9.1900,-75.0152,Peru,,,,,GB319,AD1?,,,
19,PL221019,P221GB0362,GB0362,GB0362,PI361153,SRX996767,AD2,Wild,-14.2350,-51.9253,Brazil,,,,,GB362,,,,
20,PL221020,P221GB0369,GB0369,GB0369,PI528216,SRX996768,AD2,Wild,4.5709,-74.2973,Colombia,,,,,GB369,,,,
21,PL221021,P221GB0385,GB0385,GB0385,PI528230,SRX996769,AD2,Wild,6.4238,-66.5897,Venezuela,,,,,GB385,,,,
22,PL221022,P221GB0398,GB0398,GB0398,PI528243,SRX996770,AD2,Wild,-9.1900,-75.0152,Peru,,,,,GB398,,,,
23,PL221023,P221GB0411,GB0411,GB0411,PI528256,SRX996771,AD2,Wild,-9.1900,-75.0152,Peru,,,,,GB411,,,,
24,PL221024,P221GB0414,GB0414,GB0414,PI528259,SRX996772,AD2,Wild,-9.1900,-75.0152,Peru,,,,,GB414,,,,
25,PL221025,P221GB0427,GB0427,GB0427,PI528272,SRX996773,AD2,Wild,-14.2350,-51.9253,Brazil,,,,,GB427,Tanguis CN (W) 748-60,,,
26,PL221026,P221GB0618,GB0618,GB0618,PI608061,SRX996774,AD2,Wild,-1.9575,-79.9193,Ecuador,Guayas,,,,GB618,AS-828,,,
27,PL211027,P211DP0340,DP0340,Deltapine-340,PI630941,SRX996775,AD2,Cultivar,32.7783,-110.4179,USA,Arizona,,,,DP340,,,,
28,PL211028,P211PHY76,PHY76,Phytogen-76,PI617048,SRX996776,AD2,Cultivar,36.7783,-119.4179,USA,California,,,,Phy76,PHY 76 Pima,,,
29,PL111035,P111HS26,HS26,HS26,PI606814,SRR1534950,AD1,Cultivar,33.5779,-101.8552,USA,Texas,,,,SRR1534950,Paymaster HS26,,,
30,PL112001,P112AU,AU,Acala Ultima,PI603079,,AD1,Cultivar,34.5199,105.8701,United States,New Mexico,,,,AcalaUltima,,,,
31,PL112002,P112Cok315,Cok315,Coker 315,PI529530,,AD1,Cultivar,37.0902,-95.7129,United States,,,,,Coker315,,,,
32,PL112003,P112DP90,DP90,Deltapine 90,PI529529,,AD1,Cultivar,37.0902,-95.7129,United States,,,,,DP90,,,,
33,PL112004,P112FM966,FM966,Fibermax 966,,,AD1,Cultivar,37.0902,-95.7129,United States,,,,,FM966,,,,
34,PL112005,P112PSC355,PSC355,Phytogen PSC 355,PI612974,,AD1,Cultivar,37.0902,-95.7129,United States,,,,,PSC355,,,,
35,PL112006,P112ST825,ST825,Stoneville 825,PI518761,,AD1,Cultivar,37.0902,-95.7129,United States,,,,,STV825,,,,
36,PL112007,P112TP,TP,Tamcot Pyramid,PI617042,,AD1,Cultivar,37.0902,-95.7129,United States,,,,,TamcotPyramid,,,,
37,PL113001,P113CRI12,CRI12,CRI12,,SRR5279197,AD1,Cultivar,36.0976,114.3924,China,Henan,Anyang,,,SRR5279197,,,,
38,PL113002,P113LuM378,LuM378,Lumian378,,SRR5279198,AD1,Cultivar,35.8940,117.9249,China,Shandong,,,,SRR5279198,,,,
39,PL113003,P113CM47,CM47,Chuangmian47,,SRR5279199,AD1,Cultivar,30.2638,102.8055,China,Sichuan,,,,SRR5279199,,,,
